timestamp,conductivity_conductivity,conductivity_temperature,conductivity_salinity,conductivity_density,conductivity_soundspeed,pressure_pressure,pressure_temperature
2023-09-06 08:30,34.9055,15.1573,27.6958,1020.32,1498.71,308.844,15.1757
2023-09-06 09:00,35.0541,15.1565,27.8271,1020.42,1498.85,309.221,15.1756
2023-09-06 09:28,34.8371,15.1109,27.6683,1020.3,1498.52,309.721,15.132
2023-09-06 10:00,34.8839,15.0753,27.7347,1020.36,1498.49,310.564,15.0941
2023-09-06 10:28,34.783,14.9782,27.7144,1020.37,1498.15,311.305,14.9893
2023-09-06 11:00,34.7381,14.8566,27.7609,1020.43,1497.81,311.991,14.8358
2023-09-06 11:30,34.7204,14.7545,27.818,1020.49,1497.54,312.703,14.769
2023-09-06 12:00,34.8407,14.6072,28.0306,1020.69,1497.31,313.156,14.6249
2023-09-06 12:30,34.6628,14.5439,27.9174,1020.61,1496.97,313.67,14.5732
2023-09-06 13:00,34.7591,14.3233,28.163,1020.85,1496.54,314.081,14.3476
2023-09-06 13:30,34.6362,14.3596,28.0264,1020.73,1496.5,314.53,14.3895
2023-09-06 13:58,34.6851,14.4534,28.0024,1020.7,1496.78,314.884,14.4698
2023-09-06 14:30,34.6478,14.6987,27.7932,1020.49,1497.33,314.859,14.7202
2023-09-06 15:00,34.9911,14.886,27.9641,1020.58,1498.14,314.54,14.9049
2023-09-06 15:30,34.2657,14.7714,27.4027,1020.17,1497.12,314.162,14.8021
2023-09-06 16:00,34.3265,14.7068,27.5021,1020.26,1497.02,313.277,14.7254
2023-09-06 16:30,34.3573,14.668,27.5569,1020.31,1496.96,312.338,14.6827
2023-09-06 17:00,34.3493,14.6919,27.5329,1020.29,1497.01,311.666,14.6927
2023-09-06 17:30,34.4347,14.8712,27.4822,1020.21,1497.53,310.808,14.8958
2023-09-06 18:00,34.4121,14.9285,27.422,1020.15,1497.65,310.199,14.936
2023-09-06 18:30,34.4105,14.8318,27.4885,1020.22,1497.41,309.816,14.8521
2023-09-06 19:00,34.484,15.0427,27.4054,1020.12,1498.0,309.278,15.0637
2023-09-06 19:30,34.4968,14.9507,27.4812,1020.19,1497.79,309.004,14.9965
2023-09-06 20:00,34.5299,14.8182,27.6038,1020.32,1497.5,309.086,14.8379
2023-09-06 20:30,34.5303,14.759,27.646,1020.36,1497.36,309.207,14.7783
2023-09-06 21:00,34.4301,14.6115,27.6616,1020.4,1496.9,309.689,14.6337
2023-09-06 21:30,34.4074,14.506,27.7166,1020.47,1496.62,310.286,14.528
2023-09-06 22:00,34.4796,14.5089,27.779,1020.51,1496.7,310.589,14.5236
2023-09-06 22:30,34.4081,14.5537,27.6832,1020.43,1496.73,310.935,14.5819
2023-09-06 23:00,34.4403,14.487,27.7595,1020.5,1496.6,311.839,14.4929
2023-09-06 23:30,34.4215,14.5087,27.7272,1020.47,1496.64,312.35,14.5187
2023-09-07 00:00,34.3859,14.528,27.6817,1020.43,1496.65,312.688,14.5427
2023-09-07 00:30,34.4091,14.4417,27.764,1020.52,1496.46,313.335,14.4533
2023-09-07 01:00,34.3564,14.4052,27.743,1020.51,1496.32,313.872,14.379
2023-09-07 01:30,34.3397,14.4232,27.7152,1020.48,1496.34,314.435,14.4427
2023-09-07 02:00,34.3855,14.4097,27.7658,1020.52,1496.36,315.064,14.4429
2023-09-07 02:30,34.4203,14.5559,27.6925,1020.44,1496.75,315.14,14.5734
2023-09-07 03:00,34.5436,14.6363,27.7451,1020.46,1497.07,314.901,14.6448
2023-09-07 03:56,34.4179,14.7042,27.5851,1020.32,1497.11,314.81,14.7102
