Observed,Predicted,LowerBound,UpperBound,Anomalous,Error,Threshold
740.665,nan,nan,nan,0,nan,0.0038
740.108,nan,nan,nan,0,nan,0.0038
739.584,nan,nan,nan,0,nan,0.0038
738.722,nan,nan,nan,0,nan,0.0038
737.976,nan,nan,nan,0,nan,0.0038
737.425,nan,nan,nan,0,nan,0.0038
736.554,nan,nan,nan,0,nan,0.0038
735.511,nan,nan,nan,0,nan,0.0038
734.942,nan,nan,nan,0,nan,0.0038
734.389,nan,nan,nan,0,nan,0.0038
733.965,nan,nan,nan,0,nan,0.0038
733.892,nan,nan,nan,0,nan,0.0038
734.037,nan,nan,nan,0,nan,0.0038
734.339,nan,nan,nan,0,nan,0.0038
734.96,nan,nan,nan,0,nan,0.0038
735.96,nan,nan,nan,0,nan,0.0038
736.529,nan,nan,nan,0,nan,0.0038
737.201,nan,nan,nan,0,nan,0.0038
737.451,nan,nan,nan,0,nan,0.0038
738.659,nan,nan,nan,0,nan,0.0038
740.07,nan,nan,nan,0,nan,0.0038
741.034,nan,nan,nan,0,nan,0.0038
741.052,nan,nan,nan,0,nan,0.0038
741.293,nan,nan,nan,0,nan,0.0038
740.533,nan,nan,nan,0,nan,0.0038
740.58,nan,nan,nan,0,nan,0.0038
739.467,nan,nan,nan,0,nan,0.0038
738.722,nan,nan,nan,0,nan,0.0038
738.572,nan,nan,nan,0,nan,0.0038
736.931,nan,nan,nan,0,nan,0.0038
736.644,nan,nan,nan,0,nan,0.0038
736.353,nan,nan,nan,0,nan,0.0038
735.23,nan,nan,nan,0,nan,0.0038
734.566,nan,nan,nan,0,nan,0.0038
734.636,nan,nan,nan,0,nan,0.0038
734.165,nan,nan,nan,0,nan,0.0038
733.897,nan,nan,nan,0,nan,0.0038
734.466,nan,nan,nan,0,nan,0.0038
734.826,nan,nan,nan,0,nan,0.0038
735.467,nan,nan,nan,0,nan,0.0038
735.671,nan,nan,nan,0,nan,0.0038
736.468,nan,nan,nan,0,nan,0.0038
737.009,nan,nan,nan,0,nan,0.0038
737.472,nan,nan,nan,0,nan,0.0038
738.164,nan,nan,nan,0,nan,0.0038
739.064,nan,nan,nan,0,nan,0.0038
739.771,nan,nan,nan,0,nan,0.0038
740.362,nan,nan,nan,0,nan,0.0038
740.508,nan,nan,nan,0,nan,0.0038
740.65,nan,nan,nan,0,nan,0.0038
740.28,nan,nan,nan,0,nan,0.0038
739.884,nan,nan,nan,0,nan,0.0038
739.209,nan,nan,nan,0,nan,0.0038
738.21,nan,nan,nan,0,nan,0.0038
737.624,nan,nan,nan,0,nan,0.0038
737.137,nan,nan,nan,0,nan,0.0038
736.588,nan,nan,nan,0,nan,0.0038
735.849,nan,nan,nan,0,nan,0.0038
735.535,nan,nan,nan,0,nan,0.0038
735.274,nan,nan,nan,0,nan,0.0038
735.225,nan,nan,nan,0,nan,0.0038
735.5,nan,nan,nan,0,nan,0.0038
735.834,nan,nan,nan,0,nan,0.0038
736.248,nan,nan,nan,0,nan,0.0038
736.918,nan,nan,nan,0,nan,0.0038
737.67,nan,nan,nan,0,nan,0.0038
738.446,nan,nan,nan,0,nan,0.0038
739.362,nan,nan,nan,0,nan,0.0038
740.235,nan,nan,nan,0,nan,0.0038
741.121,nan,nan,nan,0,nan,0.0038
742.152,nan,nan,nan,0,nan,0.0038
742.529,nan,nan,nan,0,nan,0.0038
743.124,nan,nan,nan,0,nan,0.0038
743.12,nan,nan,nan,0,nan,0.0038
