observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
752.314,767.157,753.307,781.008,0,0,0.2,0.277013
753.021,767.159,752.911,781.408,0,0,0.2,0.284968
754.06,767.522,753.406,781.639,0,1,0.2,0.282338
755.189,767.279,753.086,781.473,0,0,0.2,0.283877
755.974,766.838,752.391,781.285,0,0,0.2,0.288941
757.115,767.68,753.386,781.973,0,0,0.2,0.285873
757.935,767.735,753.224,782.245,0,1,0.195994,0.290207
758.724,767.48,753.379,781.582,0,0,0.17513,0.282023
759.538,768.003,754.171,781.835,0,0,0.169299,0.276637
759.891,767.924,754.06,781.788,0,0,0.160656,0.277277
760.147,767.645,753.918,781.373,0,0,0.149966,0.274546
760.095,767.828,754.276,781.38,0,0,0.154665,0.271037
759.533,767.325,753.679,780.971,0,0,0.15584,0.272924
759.067,767.509,753.914,781.105,0,0,0.168844,0.271914
758.299,768.842,755.589,782.096,0,0,0.2,0.265069
757.478,768.335,754.987,781.683,0,0,0.2,0.266958
756.252,768.282,754.716,781.849,0,0,0.2,0.27133
755.504,767.969,754.046,781.892,0,0,0.2,0.27846
754.528,768.134,754.199,782.069,0,0,0.2,0.278699
753.708,767.611,753.893,781.328,0,0,0.2,0.27435
752.81,767.697,753.727,781.667,0,0,0.2,0.279394
753.737,767.748,753.798,781.699,0,0,0.2,0.279009
753.692,768.164,754.014,782.314,0,0,0.2,0.283006
753.094,768.255,754.046,782.465,0,0,0.2,0.284192
753.462,767.332,753.133,781.53,0,0,0.2,0.283967
753.686,767.802,753.503,782.102,0,0,0.2,0.285993
754.507,767.774,753.606,781.943,0,0,0.2,0.283369
755.717,767.958,753.596,782.32,0,0,0.2,0.287242
756.363,767.462,753.088,781.836,0,0,0.2,0.287478
757.1,767.02,752.533,781.508,0,0,0.198409,0.289742
758.097,767.432,752.863,782,0,0,0.186691,0.291371
759.201,767.305,753.02,781.591,0,0,0.162089,0.285717
760.402,767.722,753.54,781.904,0,0,0.146402,0.283641
760.998,767.767,753.795,781.739,0,0,0.135381,0.279439
760.897,768.378,754.707,782.048,0,0,0.149611,0.273413
760.996,768.391,754.759,782.024,0,0,0.147908,0.272649
760.579,767.486,753.876,781.097,0,0,0.13815,0.272202
760.063,768.619,755.252,781.987,0,0,0.171122,0.267349
759.177,768.976,755.754,782.198,0,0,0.195978,0.264446
758.007,768.997,755.704,782.289,0,0,0.2,0.265852
756.754,769.14,755.587,782.693,0,0,0.2,0.27106
755.738,768.253,754.555,781.951,0,0,0.2,0.273966
754.398,768.242,754.493,781.99,0,0,0.2,0.274977
753.425,768.333,754.403,782.263,0,0,0.2,0.278597
752.76,767.617,754.02,781.213,0,0,0.2,0.271926
751.865,768.546,754.791,782.302,0,0,0.2,0.275103
751.147,767.717,753.86,781.575,0,0,0.2,0.277149
751.012,767.365,753.518,781.212,0,0,0.2,0.276936
751.415,767.084,753.206,780.961,0,0,0.2,0.277553
752.237,767.087,753.13,781.043,0,0,0.2,0.279133
752.868,766.694,752.515,780.872,0,0,0.2,0.283571
754.078,767.83,753.689,781.97,0,0,0.2,0.282802
